i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
4;7;7;8;9;9;9;9;9;11040;10608;41232;0;3936;3180;3492
3;4;6;8;9;9;9;9;9;4072;2560;7808;12;1200;332;1016
4;4;6;6;6;9;9;9;9;1128;480;1464;48;216;24;192
3;4;4;8;8;9;9;9;9;2448;720;1872;24;264;144;288
2;4;4;5;6;9;9;9;9;96;24;84;6;12;0;6
5;6;7;9;9;9;9;9;9;12440;12152;56968;0;4896;3668;3588
4;5;5;8;8;9;9;9;9;4632;3336;8328;12;1428;492;1404
3;3;4;5;7;9;9;9;9;408;48;168;0;24;0;24
2;5;5;6;8;8;9;9;9;860;536;760;48;248;106;134
3;3;5;6;7;7;9;9;9;468;180;108;12;136;0;32
4;4;8;8;8;9;9;9;9;6192;5544;13896;216;1920;1272;2136
7;7;7;8;8;8;8;9;9;17280;17280;8640;0;2160;0;15120
3;4;7;8;9;9;9;9;9;4452;3336;10488;18;1530;516;1272
4;6;8;8;8;9;9;9;9;10484;10052;28828;192;2908;3052;3900
3;5;5;6;6;7;9;9;9;824;104;328;8;48;8;40
4;4;5;7;8;8;9;9;9;2324;1568;2320;86;512;372;598
5;6;9;9;9;9;9;9;9;12960;12960;90720;0;5760;4680;2520
3;4;6;7;8;8;8;9;9;1570;1138;806;146;202;14;776
2;3;5;6;6;7;9;9;9;164;20;52;4;8;0;8
6;6;7;8;8;9;9;9;9;13920;13488;38352;0;4032;3600;5856
5;5;7;7;8;9;9;9;9;7920;6840;16488;0;2808;1128;2904
5;8;8;8;9;9;9;9;9;15840;15840;87840;0;3708;7164;4968
3;3;5;6;6;9;9;9;9;408;120;312;24;48;0;48
7;9;9;9;9;9;9;9;9;8640;8640;263520;0;1440;7200;0
2;4;5;5;6;8;9;9;9;176;32;112;8;16;0;8
3;5;5;6;7;7;9;9;9;1088;512;352;24;392;12;84
4;4;5;6;6;7;8;9;9;412;52;164;4;24;2;22
2;5;7;7;7;8;9;9;9;1644;1212;1380;78;678;132;324
4;6;6;8;8;8;9;9;9;7240;6376;9176;152;2112;1392;2720
2;3;4;5;8;8;9;9;9;218;38;70;2;12;12;12
6;7;7;8;8;8;8;9;9;14520;14376;7224;312;1752;72;12240
3;5;5;5;8;8;9;9;9;908;476;820;48;144;164;120
2;3;5;7;7;7;8;9;9;152;80;28;4;64;0;12
2;6;6;6;6;8;9;9;9;792;216;648;24;120;0;72
3;6;7;7;9;9;9;9;9;6056;5408;15328;188;2412;1000;1808
5;5;5;5;7;9;9;9;9;1440;576;2016;0;288;0;288
3;4;4;7;8;9;9;9;9;1824;528;1416;16;200;96;216
4;4;4;9;9;9;9;9;9;3600;1440;5040;0;720;0;720
4;6;8;9;9;9;9;9;9;10720;10504;54296;0;4704;3184;2616
4;5;5;6;7;7;9;9;9;1616;752;544;32;576;12;132
3;3;7;7;8;8;9;9;9;1588;1156;1436;80;376;228;472
2;3;5;5;8;8;9;9;9;230;86;130;16;24;24;22
2;3;6;7;7;9;9;9;9;672;348;624;28;176;12;132
3;5;5;7;7;9;9;9;9;2032;1168;2720;32;592;96;448
4;5;5;6;9;9;9;9;9;3360;2064;5712;0;1056;84;924
4;5;5;5;7;8;8;9;9;612;180;468;36;36;0;108
4;5;5;7;8;8;8;9;9;2236;1696;1220;240;288;20;1148
4;5;5;6;7;7;8;9;9;808;376;272;16;288;6;66
4;5;5;7;7;8;8;9;9;1576;928;1016;60;332;20;516
3;4;4;7;8;8;8;9;9;768;336;312;48;48;0;240
5;5;6;6;7;9;9;9;9;3600;2304;5472;0;1152;88;1064
3;5;5;7;8;8;8;9;9;1572;1140;804;156;200;16;768
3;7;8;9;9;9;9;9;9;8640;8496;45504;0;4440;2112;1944
2;7;7;7;8;9;9;9;9;3312;3096;6624;240;1416;492;948
2;5;6;6;6;8;9;9;9;600;168;480;24;96;0;48
3;6;6;7;8;8;8;9;9;2848;2416;1472;276;476;36;1628
5;6;6;6;6;8;8;9;9;1632;480;1248;96;96;0;288
4;4;4;8;8;8;8;9;9;1224;792;504;108;72;0;612
3;5;5;6;7;8;9;9;9;1258;646;1082;26;308;108;204
3;5;6;8;9;9;9;9;9;5036;3848;11704;34;1752;658;1404
2;4;4;6;7;8;8;9;9;174;66;78;18;24;0;24
3;4;6;6;6;8;8;9;9;416;128;304;42;26;3;57
2;3;4;5;6;8;9;9;9;80;8;28;0;4;0;4
4;4;4;6;7;7;9;9;9;552;264;168;24;192;0;48
4;4;6;6;9;9;9;9;9;3360;2064;5712;0;1056;96;912
3;5;6;6;6;9;9;9;9;1116;468;1476;36;228;24;180
3;4;5;6;6;8;8;9;9;300;84;204;28;16;2;38
3;4;5;7;7;8;8;9;9;788;428;436;36;160;8;224
2;6;7;7;8;9;9;9;9;2868;2436;5340;184;1112;384;756
4;5;7;7;8;8;8;9;9;4228;3580;2252;324;684;52;2520
